file,r_i_glide_gscore,r_i_docking_score
V003-6019,-8.99038104688808,-8.99038104688808
D487-0194,-8.98968660541209,-8.98968660541209
D398-0074,-8.98792913911298,-8.98792913911298
D715-1363,-8.99114342348603,-8.98734342348603
V015-3123,-9.00666932397688,-8.98616932397688
Z218-0154,-9.39646905948415,-8.98576905948415
K786-9001,-9.09727179816733,-8.98557179816733
M628-0266,-8.98439687585355,-8.98439687585355
G199-2080,-9.39367117130051,-8.98297117130051
V020-6274,-9.20766934148418,-8.98006934148418
Y020-4486,-8.97959699021724,-8.97919699021724
V029-2163,-8.97879703625172,-8.97879703625172
Y070-5017,-9.16967065560305,-8.97867065560305
G199-3611,-9.39697000538207,-8.97817000538208
G721-0105,-8.97735376558465,-8.97735376558465
C301-6635,-8.9772614262078,-8.9772614262078
D221-0201,-8.97706868353193,-8.97706868353193
C444-1628,-8.97652498161517,-8.97652498161517
E475-0304,-8.97562576652036,-8.97562576652036
G856-2309,-8.97364448974591,-8.97364448974591
Y020-4449,-8.97691161041242,-8.97361161041242
V010-0867,-8.9734684935995,-8.9734684935995
M628-0328,-8.97254050174145,-8.97254050174145
G843-0133,-8.9721550192332,-8.9721550192332
0509-0281,-9.03884713386078,-8.97134713386078
D077-0273,-8.97096478405947,-8.97096478405947
D717-0202,-8.97074799787173,-8.97074799787173
D664-0051,-8.98265355681717,-8.97035355681717
G642-6660,-8.97011357109933,-8.96951357109933
D021-0147,-8.96895913962679,-8.96895913962679
6069-4958,-8.96884735711143,-8.96884735711143
V009-2285,-9.05083828588991,-8.96773828588991
D343-0063,-9.07544569653948,-8.96724569653948
D645-0034,-9.37718835995893,-8.96648835995892
G786-1921,-9.13354606243789,-8.96644606243789
4554-6870,-8.96589846595492,-8.96589846595492
L108-0657,-8.9654916914917,-8.9654916914917
G199-2083,-9.37560492968938,-8.96500492968937
D437-0079,-8.96410625354351,-8.96410625354351
D077-0394,-8.96353691892971,-8.96353691892971
F527-0547,-8.96210751889751,-8.96210751889751
D077-0405,-8.96208354607168,-8.96208354607168
4711-0024,-8.96162749232468,-8.96162749232468
F471-0771,-8.96211277024236,-8.96141277024236
P162-1014,-8.96116982114326,-8.95836982114326
E244-0492,-8.95801194468901,-8.95801194468901
C482-0098,-8.95726452820719,-8.95726452820719
G843-0992,-8.9570300875208,-8.9570300875208
M338-0464,-8.95651688074371,-8.95651688074371
J012-1813,-8.95586530213906,-8.95586530213906
J108-0403,-8.95478435488137,-8.95478435488137
E201-0222,-8.95446189381691,-8.95446189381691
1151-0153,-8.95340951039807,-8.95340951039807
C498-0575,-8.99344400219813,-8.95234400219813
D077-0268,-8.95189034312064,-8.95189034312064
G642-6397,-8.95186699023603,-8.95186699023603
D715-1215,-9.06386510283687,-8.95086510283687
D077-0111,-8.948493653214,-8.948493653214
D600-0096,-8.94820891722012,-8.94820891722012
D077-0349,-8.94723158409172,-8.94723158409172
V018-8419,-8.94703981381823,-8.94703981381823
Z218-4485,-9.35693609710743,-8.94623609710743
3455-0985,-8.94552420222035,-8.94552420222035
Y020-4511,-8.94468960065239,-8.94468960065239
5132-0225,-8.94451201633413,-8.94451201633413
Z250-1317,-8.96095963620175,-8.94395963620175
C231-0160,-8.94393563343061,-8.94393563343061
D715-2679,-8.96196953860423,-8.94366953860423
M628-0008,-9.46420764678944,-8.94290764678944
C276-0247,-8.94334642317131,-8.94274642317131
P162-0975,-8.94407335239024,-8.94127335239024
Y020-0876,-8.94117287146383,-8.94117287146383
C276-0004,-8.94084569068219,-8.94084569068219
C160-0070,-8.94073944767442,-8.94073944767442
D667-0173,-8.94040546537248,-8.94040546537248
G856-8308,-8.93789213653846,-8.93789213653846
F527-0550,-8.93784390021487,-8.93784390021487
K065-0041,-8.9371004715497,-8.9371004715497
F389-0158,-8.93888168157799,-8.93668168157799
Y020-9517,-8.9363131915594,-8.9363131915594
F471-0748,-8.93599532278095,-8.93539532278095
J108-0407,-8.93462380687454,-8.93462380687454
4799-3691,-8.93316260815494,-8.93316260815494
D221-0202,-8.93289305847303,-8.93289305847303
Y200-1156,-8.93788811927985,-8.93238811927985
M976-0003,-8.93119592438671,-8.93119592438671
Y041-7698,-8.97384071485586,-8.93104071485586
D077-0188,-8.93012400691352,-8.93012400691352
